GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,WL,PTS,REB,AST
0042300405,2024-06-17,1610612738,BOS,Boston Celtics,BOS vs. DAL,1.0,106,51,25
0042300405,2024-06-17,1610612742,DAL,Dallas Mavericks,DAL @ BOS,0.0,88,35,18
0042300404,2024-06-14,1610612738,BOS,Boston Celtics,BOS @ DAL,0.0,84,31,18
0042300404,2024-06-14,1610612742,DAL,Dallas Mavericks,DAL vs. BOS,1.0,122,52,21
0042300403,2024-06-12,1610612738,BOS,Boston Celtics,BOS @ DAL,1.0,106,36,26
0042300403,2024-06-12,1610612742,DAL,Dallas Mavericks,DAL vs. BOS,0.0,99,43,15
0042300402,2024-06-09,1610612738,BOS,Boston Celtics,BOS vs. DAL,1.0,105,41,29
0042300402,2024-06-09,1610612742,DAL,Dallas Mavericks,DAL @ BOS,0.0,98,43,21
0042300401,2024-06-06,1610612738,BOS,Boston Celtics,BOS vs. DAL,1.0,107,47,23
0042300401,2024-06-06,1610612742,DAL,Dallas Mavericks,DAL @ BOS,0.0,89,43,9
0042300315,2024-05-30,1610612742,DAL,Dallas Mavericks,DAL @ MIN,1.0,124,45,19
0042300315,2024-05-30,1610612750,MIN,Minnesota Timberwolves,MIN vs. DAL,0.0,103,41,17
0042300314,2024-05-28,1610612750,MIN,Minnesota Timberwolves,MIN @ DAL,1.0,105,40,23
0042300314,2024-05-28,1610612742,DAL,Dallas Mavericks,DAL vs. MIN,0.0,100,38,23
0042300304,2024-05-27,1610612754,IND,Indiana Pacers,IND vs. BOS,0.0,102,47,24
0042300304,2024-05-27,1610612738,BOS,Boston Celtics,BOS @ IND,1.0,105,44,22
0042300313,2024-05-26,1610612750,MIN,Minnesota Timberwolves,MIN @ DAL,0.0,107,33,26
0042300313,2024-05-26,1610612742,DAL,Dallas Mavericks,DAL vs. MIN,1.0,116,32,19
0042300303,2024-05-25,1610612738,BOS,Boston Celtics,BOS @ IND,1.0,114,36,24
0042300303,2024-05-25,1610612754,IND,Indiana Pacers,IND vs. BOS,0.0,111,43,32
0042300312,2024-05-24,1610612742,DAL,Dallas Mavericks,DAL @ MIN,1.0,109,44,24
0042300312,2024-05-24,1610612750,MIN,Minnesota Timberwolves,MIN vs. DAL,0.0,108,40,26
0042300302,2024-05-23,1610612738,BOS,Boston Celtics,BOS vs. IND,1.0,126,40,28
0042300302,2024-05-23,1610612754,IND,Indiana Pacers,IND @ BOS,0.0,110,37,23
0042300311,2024-05-22,1610612742,DAL,Dallas Mavericks,DAL @ MIN,1.0,108,48,21
0042300311,2024-05-22,1610612750,MIN,Minnesota Timberwolves,MIN vs. DAL,0.0,105,40,23
0042300301,2024-05-21,1610612738,BOS,Boston Celtics,BOS vs. IND,1.0,133,43,30
0042300301,2024-05-21,1610612754,IND,Indiana Pacers,IND @ BOS,0.0,128,44,38
0042300237,2024-05-19,1610612750,MIN,Minnesota Timberwolves,MIN @ DEN,1.0,98,47,18
0042300217,2024-05-19,1610612754,IND,Indiana Pacers,IND @ NYK,1.0,130,33,33
0042300237,2024-05-19,1610612743,DEN,Denver Nuggets,DEN vs. MIN,0.0,90,44,18
0042300217,2024-05-19,1610612752,NYK,New York Knicks,NYK vs. IND,0.0,109,28,22
0042300226,2024-05-18,1610612760,OKC,Oklahoma City Thunder,OKC @ DAL,0.0,116,31,25
0042300226,2024-05-18,1610612742,DAL,Dallas Mavericks,DAL vs. OKC,1.0,117,47,25
0042300216,2024-05-17,1610612752,NYK,New York Knicks,NYK @ IND,0.0,103,35,20
0042300216,2024-05-17,1610612754,IND,Indiana Pacers,IND vs. NYK,1.0,116,47,35
0042300236,2024-05-16,1610612750,MIN,Minnesota Timberwolves,MIN vs. DEN,1.0,115,62,26
0042300236,2024-05-16,1610612743,DEN,Denver Nuggets,DEN @ MIN,0.0,70,43,18
0042300205,2024-05-15,1610612739,CLE,Cleveland Cavaliers,CLE @ BOS,0.0,98,28,25
0042300205,2024-05-15,1610612738,BOS,Boston Celtics,BOS vs. CLE,1.0,113,43,32
0042300225,2024-05-15,1610612760,OKC,Oklahoma City Thunder,OKC vs. DAL,0.0,92,33,20
0042300225,2024-05-15,1610612742,DAL,Dallas Mavericks,DAL @ OKC,1.0,104,46,27
0042300215,2024-05-14,1610612752,NYK,New York Knicks,NYK vs. IND,1.0,121,53,26
0042300235,2024-05-14,1610612743,DEN,Denver Nuggets,DEN vs. MIN,1.0,112,38,30
0042300215,2024-05-14,1610612754,IND,Indiana Pacers,IND @ NYK,0.0,91,29,24
0042300235,2024-05-14,1610612750,MIN,Minnesota Timberwolves,MIN @ DEN,0.0,97,33,30
0042300224,2024-05-13,1610612742,DAL,Dallas Mavericks,DAL vs. OKC,0.0,96,47,26
0042300224,2024-05-13,1610612760,OKC,Oklahoma City Thunder,OKC @ DAL,1.0,100,45,18
0042300204,2024-05-13,1610612738,BOS,Boston Celtics,BOS @ CLE,1.0,109,48,15
0042300204,2024-05-13,1610612739,CLE,Cleveland Cavaliers,CLE vs. BOS,0.0,102,32,26
0042300234,2024-05-12,1610612743,DEN,Denver Nuggets,DEN @ MIN,1.0,115,31,29
0042300214,2024-05-12,1610612754,IND,Indiana Pacers,IND vs. NYK,1.0,121,52,31
0042300234,2024-05-12,1610612750,MIN,Minnesota Timberwolves,MIN vs. DEN,0.0,107,42,21
0042300214,2024-05-12,1610612752,NYK,New York Knicks,NYK @ IND,0.0,89,43,18
0042300223,2024-05-11,1610612760,OKC,Oklahoma City Thunder,OKC @ DAL,0.0,101,41,23
0042300203,2024-05-11,1610612738,BOS,Boston Celtics,BOS @ CLE,1.0,106,44,22
