TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612737,Atlanta Hawks,82,36,46,0.439,3971.0,3529,7584,0.465,1125,3092,0.364,1520,1906,0.797,1024,2639,3663,2180,1110.0,615,369,461,1522,1594,9703,-179.0,1,21,21,21,3,10,2,21,6,7,17,5,7,8,3,22,6,16,16,16,26,22,15,7,5,21,2023-24
1610612738,Boston Celtics,82,64,18,0.78,3966.0,3601,7396,0.487,1351,3482,0.388,1334,1654,0.807,876,2923,3799,2207,979.0,557,538,304,1326,1416,9887,930.0,1,1,1,1,7,4,8,8,1,1,2,19,26,7,14,1,2,14,1,27,1,1,2,30,2,1,2023-24
1610612751,Brooklyn Nets,82,32,50,0.39,3961.0,3334,7307,0.456,1089,3010,0.362,1293,1711,0.756,938,2675,3613,2102,1076.0,556,424,409,1516,1496,9050,-237.0,1,22,22,22,10,25,16,28,9,9,19,23,20,28,7,20,11,20,12,28,12,16,13,21,25,22,2023-24
1610612766,Charlotte Hornets,82,21,61,0.256,3946.0,3281,7133,0.46,989,2788,0.355,1189,1512,0.786,765,2538,3303,2033,1129.0,562,371,396,1472,1432,8740,-840.0,1,27,27,27,23,27,25,26,23,17,21,30,30,11,27,29,30,26,18,25,25,13,7,29,28,30,2023-24
1610612741,Chicago Bulls,82,39,43,0.476,3996.0,3448,7339,0.47,941,2630,0.358,1369,1731,0.791,916,2677,3593,2048,1004.0,638,394,404,1541,1538,9206,-118.0,1,20,20,20,1,16,13,18,27,26,20,17,18,10,8,19,14,23,3,9,18,14,17,14,22,20,2023-24
1610612739,Cleveland Cavaliers,82,48,34,0.585,3961.0,3425,7147,0.479,1108,3016,0.367,1278,1671,0.765,807,2742,3549,2299,1112.0,605,380,410,1436,1536,9236,198.0,1,11,11,11,10,19,24,12,7,8,15,26,24,22,22,11,17,8,17,19,21,17,5,16,20,13,2023-24
1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,3535,7352,0.481,1197,3242,0.369,1397,1842,0.758,797,2724,3521,2106,1027.0,563,406,331,1500,1667,9664,181.0,1,6,6,6,26,9,12,11,3,2,13,15,11,27,23,14,21,19,4,24,17,2,10,2,7,14,2023-24
1610612743,Denver Nuggets,82,57,25,0.695,3941.0,3610,7279,0.496,958,2560,0.374,1240,1628,0.762,881,2762,3643,2415,1036.0,585,456,394,1489,1467,9418,431.0,1,2,2,2,26,3,17,4,25,30,10,29,29,25,13,9,7,3,5,21,10,12,9,26,14,4,2023-24
1610612765,Detroit Pistons,82,14,68,0.171,3951.0,3353,7236,0.463,906,2602,0.348,1398,1780,0.785,861,2692,3553,2088,1248.0,531,384,490,1688,1457,9010,-747.0,1,30,30,30,21,24,20,24,29,27,26,14,15,12,15,18,16,22,28,30,20,25,28,28,27,28,2023-24
1610612744,Golden State Warriors,82,46,36,0.561,3966.0,3582,7515,0.477,1211,3191,0.38,1282,1644,0.78,996,2834,3830,2402,1174.0,572,377,407,1598,1471,9657,214.0,1,16,16,16,7,5,3,13,2,4,7,24,27,17,5,4,1,4,23,23,23,15,22,24,8,12,2023-24
1610612745,Houston Rockets,82,41,41,0.5,3971.0,3425,7459,0.459,1043,2964,0.352,1482,1916,0.773,940,2787,3727,2035,1045.0,639,375,482,1702,1609,9375,92.0,1,19,19,19,3,19,5,27,14,12,23,9,5,20,6,6,3,25,8,8,24,24,29,6,16,18,2023-24
1610612754,Indiana Pacers,82,47,35,0.573,3941.0,3855,7599,0.507,1082,2891,0.374,1318,1685,0.782,827,2578,3405,2522,1059.0,631,481,440,1756,1501,10110,250.0,1,12,12,12,26,1,1,1,11,15,9,21,22,13,20,28,28,1,9,11,8,21,30,20,1,9,2023-24
1610612746,LA Clippers,82,51,31,0.622,3941.0,3473,7108,0.489,1036,2719,0.381,1499,1817,0.825,822,2701,3523,2097,1078.0,640,413,384,1519,1537,9481,269.0,1,5,5,5,26,14,26,6,16,21,6,8,12,3,21,17,19,21,13,7,15,9,14,15,12,7,2023-24
1610612747,Los Angeles Lakers,82,47,35,0.573,3971.0,3580,7177,0.499,969,2572,0.377,1550,1983,0.782,676,2859,3535,2340,1146.0,605,453,390,1283,1619,9679,49.0,1,12,12,12,3,6,22,2,24,28,8,2,2,15,30,2,18,5,19,19,11,11,1,4,6,19,2023-24
1610612763,Memphis Grizzlies,82,27,55,0.329,3956.0,3145,7229,0.435,1071,3097,0.346,1316,1722,0.764,896,2598,3494,2025,1236.0,673,501,535,1563,1539,8677,-574.0,1,24,24,24,17,30,21,30,12,6,29,22,19,23,10,27,24,27,26,4,4,30,20,13,30,26,2023-24
1610612748,Miami Heat,82,46,36,0.561,3951.0,3266,7022,0.465,1022,2765,0.37,1478,1806,0.818,766,2702,3468,2116,1038.0,617,280,388,1415,1550,9032,144.0,1,16,16,16,21,28,28,22,19,18,12,10,13,5,26,16,26,18,6,15,30,10,4,11,26,16,2023-24
1610612749,Milwaukee Bucks,82,49,33,0.598,3961.0,3538,7258,0.487,1163,3122,0.373,1517,1960,0.774,772,2850,3622,2176,1059.0,558,413,347,1574,1576,9756,215.0,1,8,8,8,10,8,19,7,5,5,11,7,3,19,24,3,9,17,9,26,15,3,21,9,4,11,2023-24
1610612750,Minnesota Timberwolves,82,56,26,0.683,3961.0,3383,6974,0.485,1037,2681,0.387,1461,1881,0.777,770,2807,3577,2184,1162.0,647,497,371,1544,1630,9264,529.0,1,4,4,4,10,23,29,10,15,23,3,11,8,18,25,5,15,15,22,6,5,5,18,3,18,3,2023-24
1610612740,New Orleans Pelicans,82,49,33,0.598,3941.0,3484,7165,0.486,1023,2673,0.383,1445,1873,0.771,852,2753,3605,2210,1067.0,684,378,424,1508,1507,9436,362.0,1,8,8,8,26,12,23,9,18,24,4,13,9,21,17,10,13,13,11,3,22,19,11,18,13,6,2023-24
1610612752,New York Knicks,82,50,32,0.61,3946.0,3385,7272,0.465,1083,2936,0.369,1396,1789,0.78,1039,2665,3704,1998,1085.0,612,336,431,1447,1565,9249,376.0,1,6,6,6,23,22,18,20,10,13,14,16,14,16,1,21,5,29,15,17,29,20,6,10,19,5,2023-24
1610612760,Oklahoma City Thunder,82,57,25,0.695,3961.0,3653,7324,0.499,1090,2805,0.389,1451,1759,0.825,722,2725,3447,2223,1039.0,694,538,419,1545,1548,9847,608.0,1,2,2,2,10,2,15,3,8,16,1,12,17,4,29,12,27,11,7,1,1,18,19,12,3,2,2023-24
1610612753,Orlando Magic,82,47,35,0.573,3956.0,3318,6964,0.476,903,2568,0.352,1519,2002,0.759,861,2608,3469,2023,1206.0,669,423,379,1618,1710,9058,166.0,1,12,12,12,17,26,30,15,30,29,24,6,1,26,15,25,25,28,24,5,13,7,23,1,24,15,2023-24
1610612755,Philadelphia 76ers,82,47,35,0.573,3956.0,3404,7331,0.464,992,2733,0.363,1597,1934,0.826,906,2616,3522,2041,984.0,694,492,503,1668,1519,9397,250.0,1,12,12,12,17,21,14,23,22,19,18,1,4,2,9,23,20,24,2,1,6,27,27,17,15,9,2023-24
1610612756,Phoenix Suns,82,49,33,0.598,3956.0,3482,7063,0.493,1020,2671,0.382,1548,1915,0.808,831,2783,3614,2218,1221.0,610,492,372,1475,1612,9532,251.0,1,8,8,8,17,13,27,5,20,25,5,3,6,6,19,7,10,12,25,18,6,6,8,5,10,8,2023-24
